Monthly Oil Production
9282
7707
4203
7609
6354
5058
5096
3123
4946
3296
2741
2812
2045
3082
2575
2285
2089
2356
2079
2058
1928
1893
1684
1197
932
1080
836
856
929
948
1005
814
901
891
566
512
558
584
651
272
520
696
361
152
499
409
427
354
347
635
897
330
357
260
497
169
30
12
1544
728
505
592
368
308
274
129
562
861
830
500
371
476
450
483
285
417
306
302
393
240
313
247
279
92
52
418
559
620
359
537
394
388
370
389
318
303
431
311
375
354
354
323
249
273
399
114
136
122
240
218
256
449
553
506
404
166
224
175
241
371
413
212
264
262
240
97
142
535
356
301
265
138
554
386
296
234
247
310
354
255
231
295
247
128
377
309
253
257
290
244
233
222
281
316
238
237
175
173
97
169
195
142
401
602
417
558
339
445
194
255
168
215
252
266
236
235
303
199
226
230
