Monthly Oil Production
14000
14000
13000
11362
9930.388
8679.159112
7585.585064
6629.801346
5794.446376
5064.346133
4426.23852
3868.532467
3381.097376
2955.079106
2582.739139
2257.314008
1972.892443
1724.307995
1507.045187
1317.157494
1231.542257
1151.49201
1076.645029
1006.663102
941.2300008
880.0500508
822.8467975
769.3617556
719.3532415
672.5952808
628.8765876
587.9996094
549.7796348
514.0439585
480.6311012
449.3900796
420.1797244
392.8680424
367.3316196
343.4550643
336.585963
329.8542438
323.2571589
316.7920157
310.4561754
304.2470519
298.1621109
292.1988687
286.3548913
280.6277935
275.0152376
269.5149328
264.1246342
258.8421415
253.6652987
248.5919927
243.6201528
238.7477498
233.9727948
229.2933389
224.7074721
220.2133227
215.8090562
211.4928751
207.2630176
203.1177572
199.0554021
195.0742941
191.1728082
187.349352
183.602365
179.9303177
176.3317113
172.8050771
169.3489755
165.961996
162.6427561
159.389901
156.202103
153.0780609
150.0164997
147.0161697
144.0758463
141.1943294
138.3704428
135.6030339
132.8909733
130.2331538
127.6284907
125.0759209
124.4505413
123.8282886
123.2091471
122.5931014
121.9801359
121.3702352
120.763384
120.1595671
119.5587693
118.9609754
118.3661706
117.7743397
117.185468
116.5995407
116.016543
115.4364603
114.859278
114.2849816
113.7135567
113.1449889
112.5792639
112.0163676
111.4562858
110.8990043
110.3445093
109.7927868
109.2438228
108.6976037
108.1541157
107.6133451
107.0752784
106.539902
106.0072025
105.4771665
104.9497807
104.4250318
103.9029066
103.3833921
102.8664751
102.3521427
101.840382
101.3311801
100.8245242
100.3204016
99.81879958
99.31970558
98.82310705
98.32899152
97.83734656
97.34815983
96.86141903
96.37711193
95.89522637
95.41575024
